2019 Authorized Budget,,,,,March ,,,,April,,,,May,,,,June,,,,July,,,,August,,,,September,,,,October,,,,November,,,,December,,,,January,,,,February,,,,March,,,,April,,,,May ,,,,Jun-18,,,,Jul-18,,,,Aug-18,,,,Sep-18,,,,Oct-18,,,,Nov-18,,,,Dec-18,,,,Jan-19,,,,Feb-19,,,
Position #,Position Description,FTE Percent,Location,2019 Budgeted Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary
17,ORD REVISIONS SPEC, 	1.00 ,ATTORNEY," 	65,199 ",1215,ORD REVISIONS SPEC, 	1.00 ," 	60,505 ",1215,ORD REVISIONS SPEC,1.00," 	60,505 ",1215,ORD REVISIONS SPEC,1.00," 	60,505 ",1215,ORD REVISIONS SPEC,1," 	60,505 ",1215,ORD REVISIONS SPEC,1," 	61,715 ",1215,ORD REVISIONS SPEC,1," 	61,715 ",1215,ORD REVISIONS SPEC,1," 	61,715 ",1215,ORD REVISIONS SPEC,1," 	61,715 ",1215,ORD REVISIONS SPEC,1," 	61,715 ",1215,ORD REVISIONS SPEC,1," 	62,333 ",1215,ORD REVISIONS SPEC, 	1.00 ," 	62,333 ",1215,ORD REVISIONS SPEC, 	1.00 ," 	62,333 ",1215,ORD REVISIONS SPEC, 	1.00 ," 	62,333 ",1215,ORD REVISIONS SPEC, 	1.00 ," 	62,333 ",1215,ORD REVISIONS SPEC, 	1.00 ," 	62,333 ",1215,ORD REVISIONS SPEC, 	1.00 ," 	62,333 ",1215,ORD REVISIONS SPEC, 	1.00 ," 	62,333 ",1215,ORD REVISIONS SPEC, 	1.00 ," 	62,333 ",1215,ORD REVISIONS SPEC,1," 	62,905 ",1215,ORD REVISIONS SPEC,1," 	62,905 ",1215,ORD REVISIONS SPEC,1," 	62,905 ",1215,ORD REVISIONS SPEC, 	1.00 ," 	64,949 ",1215,ORD REVISIONS SPEC-20, 	1.00 ," 	64,949 ",1215,ORD REVISIONS SPEC-20, 	1.00 ," 	64,949 "
18,ASST CITY ATTY, 	1.00 ,ATTORNEY," 	155,695 ",2320,ASST CITY ATTY, 	1.00 ," 	144,933 ",2320,ASST CITY ATTY,1.00," 	144,933 ",2320,ASST CITY ATTY,1.00," 	144,933 ",2320,ASST CITY ATTY,1," 	144,933 ",2320,ASST CITY ATTY,1," 	147,832 ",2320,ASST CITY ATTY,1," 	147,832 ",2320,ASST CITY ATTY,1," 	147,832 ",2320,ASST CITY ATTY,1," 	147,832 ",2320,ASST CITY ATTY,1," 	147,832 ",2320,ASST CITY ATTY,1," 	149,310 ",2320,ASST CITY ATTY, 	1.00 ," 	149,310 ",2320,ASST CITY ATTY, 	1.00 ," 	149,310 ",2320,ASST CITY ATTY, 	1.00 ," 	149,310 ",2320,ASST CITY ATTY, 	1.00 ," 	149,310 ",2320,ASST CITY ATTY, 	1.00 ," 	149,310 ",2320,ASST CITY ATTY, 	1.00 ," 	149,310 ",2320,ASST CITY ATTY, 	1.00 ," 	149,310 ",2320,ASST CITY ATTY, 	1.00 ," 	149,310 ",2320,ASST CITY ATTY,1," 	149,310 ",2320,ASST CITY ATTY,1," 	149,310 ",2320,ASST CITY ATTY,1," 	149,310 ",2320,ASST CITY ATTY, 	1.00 ," 	154,162 ",2320,ASST CITY ATTY-23, 	1.00 ," 	154,162 ",2320,ASST CITY ATTY-23, 	1.00 ," 	154,162 "
19,DEPUTY CITY ATTY, 	1.00 ,ATTORNEY," 	151,124 ",1288,DEPUTY CITY ATTY, 	1.00 ," 	140,171 ",1288,DEPUTY CITY ATTY,1.00," 	140,171 ",1288,DEPUTY CITY ATTY,1.00," 	140,171 ",1288,DEPUTY CITY ATTY,1," 	140,171 ",1288,DEPUTY CITY ATTY,1," 	142,975 ",1288,DEPUTY CITY ATTY,1," 	142,975 ",1288,DEPUTY CITY ATTY,1," 	142,975 ",1288,DEPUTY CITY ATTY,1," 	142,975 ",1288,DEPUTY CITY ATTY,1," 	142,975 ",1288,DEPUTY CITY ATTY,1," 	144,405 ",1288,DEPUTY CITY ATTY, 	1.00 ," 	144,405 ",1288,DEPUTY CITY ATTY, 	1.00 ," 	144,405 ",1288,DEPUTY CITY ATTY, 	1.00 ," 	144,405 ",1288,DEPUTY CITY ATTY, 	1.00 ," 	144,405 ",1288,DEPUTY CITY ATTY, 	1.00 ," 	144,405 ",1288,DEPUTY CITY ATTY, 	1.00 ," 	144,405 ",1288,DEPUTY CITY ATTY, 	1.00 ," 	144,405 ",1288,DEPUTY CITY ATTY, 	1.00 ," 	144,405 ",1288,DEPUTY CITY ATTY,1," 	144,405 ",1288,DEPUTY CITY ATTY,1," 	144,405 ",1288,DEPUTY CITY ATTY,1," 	144,405 ",1288,DEPUTY CITY ATTY, 	1.00 ," 	149,098 ",1288,DEPUTY CITY ATTY-18, 	1.00 ," 	149,098 ",1288,DEPUTY CITY ATTY-18, 	1.00 ," 	149,098 "
20,SECRETARY 2-LEGAL, 	1.00 ,ATTORNEY," 	56,067 ",1249,SECRETARY 2-LEGAL, 	1.00 ," 	49,623 ",1249,SECRETARY 2-LEGAL,1.00," 	49,623 ",1249,SECRETARY 2-LEGAL,1.00," 	49,623 ",1249,SECRETARY 2-LEGAL,1," 	49,623 ",1249,SECRETARY 2-LEGAL,1," 	50,615 ",1249,SECRETARY 2-LEGAL,1," 	51,998 ",1249,SECRETARY 2-LEGAL,1," 	51,998 ",1249,SECRETARY 2-LEGAL,1," 	51,998 ",1249,SECRETARY 2-LEGAL,1," 	51,998 ",1249,SECRETARY 2-LEGAL,1," 	52,518 ",1249,SECRETARY 2-LEGAL, 	1.00 ," 	52,518 ",1249,SECRETARY 2-LEGAL, 	1.00 ," 	54,094 ",1249,SECRETARY 2-LEGAL, 	1.00 ," 	54,094 ",1249,SECRETARY 2-LEGAL, 	1.00 ," 	54,094 ",1249,SECRETARY 2-LEGAL, 	1.00 ," 	54,094 ",1249,SECRETARY 2-LEGAL, 	1.00 ," 	54,094 ",1249,SECRETARY 2-LEGAL, 	1.00 ," 	54,094 ",1249,SECRETARY 2-LEGAL, 	1.00 ," 	54,094 ",1249,SECRETARY 2-LEGAL,1," 	54,094 ",1249,SECRETARY 2-LEGAL,1," 	54,094 ",1249,SECRETARY 2-LEGAL,1," 	54,094 ",1249,SECRETARY 2-LEGAL, 	1.00 ," 	55,852 ",1249,SECRETARY 2-LEGAL-20, 	1.00 ," 	55,852 ",VACANT,VACANT,VACANT,VACANT
21,ASST CITY ATTY, 	1.00 ,ATTORNEY," 	137,339 ",3826,ASST CITY ATTY, 	1.00 ," 	112,182 ",3826,ASST CITY ATTY,1.00," 	112,182 ",3826,ASST CITY ATTY,1.00," 	112,182 ",3826,ASST CITY ATTY,1," 	112,182 ",3826,ASST CITY ATTY,1," 	114,425 ",3826,ASST CITY ATTY,1," 	119,499 ",3826,ASST CITY ATTY,1," 	119,499 ",3826,ASST CITY ATTY,1," 	119,499 ",3826,ASST CITY ATTY,1," 	119,499 ",3826,ASST CITY ATTY,1," 	120,694 ",3826,ASST CITY ATTY, 	1.00 ," 	120,694 ",3826,ASST CITY ATTY, 	1.00 ," 	120,694 ",3826,ASST CITY ATTY, 	1.00 ," 	120,694 ",3826,ASST CITY ATTY, 	1.00 ," 	120,694 ",3826,ASST CITY ATTY, 	1.00 ," 	120,694 ",3826,ASST CITY ATTY, 	1.00 ," 	120,694 ",3826,ASST CITY ATTY, 	1.00 ," 	120,694 ",3826,ASST CITY ATTY, 	1.00 ," 	126,234 ",3826,ASST CITY ATTY,1," 	126,234 ",3826,ASST CITY ATTY,1," 	126,234 ",3826,ASST CITY ATTY,1," 	126,234 ",3826,ASST CITY ATTY, 	1.00 ," 	130,337 ",3826,ASST CITY ATTY-23, 	1.00 ," 	130,337 ",3826,ASST CITY ATTY-23, 	1.00 ," 	134,133 "
23,ASST CITY ATTY, 	1.00 ,ATTORNEY," 	128,090 ",2708,ASST CITY ATTY, 	1.00 ," 	110,294 ",2708,ASST CITY ATTY,1.00," 	110,294 ",2708,ASST CITY ATTY,1.00," 	110,294 ",2708,ASST CITY ATTY,1," 	110,294 ",2708,ASST CITY ATTY,1," 	112,499 ",2708,ASST CITY ATTY,1," 	112,499 ",2708,ASST CITY ATTY,1," 	106,131 ",2708,ASST CITY ATTY,1," 	106,131 ",2708,ASST CITY ATTY,1," 	106,131 ",2708,ASST CITY ATTY,1," 	107,193 ",2708,ASST CITY ATTY, 	1.00 ," 	113,624 ",2708,ASST CITY ATTY, 	1.00 ," 	113,624 ",2708,ASST CITY ATTY, 	1.00 ," 	118,936 ",2708,ASST CITY ATTY, 	1.00 ," 	118,936 ",2708,ASST CITY ATTY, 	1.00 ," 	118,936 ",2708,ASST CITY ATTY, 	1.00 ," 	118,936 ",2708,ASST CITY ATTY, 	1.00 ," 	118,936 ",2708,ASST CITY ATTY, 	1.00 ," 	118,936 ",2708,ASST CITY ATTY,1," 	118,936 ",2708,ASST CITY ATTY,1," 	118,936 ",2708,ASST CITY ATTY,1," 	118,936 ",2708,ASST CITY ATTY, 	1.00 ," 	122,801 ",2708,ASST CITY ATTY-23, 	1.00 ," 	122,801 ",2708,ASST CITY ATTY-23, 	1.00 ," 	122,801 "
24,ASST CITY ATTY, 	1.00 ,ATTORNEY," 	154,755 ",4087,ASST CITY ATTY, 	1.00 ," 	144,933 ",4087,ASST CITY ATTY,1.00," 	144,933 ",4087,ASST CITY ATTY,1.00," 	144,933 ",4087,ASST CITY ATTY,1," 	144,933 ",4087,ASST CITY ATTY,1," 	147,832 ",4087,ASST CITY ATTY,1," 	147,832 ",4087,ASST CITY ATTY,1," 	147,832 ",4087,ASST CITY ATTY,1," 	147,832 ",4087,ASST CITY ATTY,1," 	147,832 ",4087,ASST CITY ATTY,1," 	149,310 ",4087,ASST CITY ATTY, 	1.00 ," 	149,310 ",4087,ASST CITY ATTY, 	1.00 ," 	149,310 ",4087,ASST CITY ATTY, 	1.00 ," 	149,310 ",4087,ASST CITY ATTY, 	1.00 ," 	149,310 ",4087,ASST CITY ATTY, 	1.00 ," 	149,310 ",4087,ASST CITY ATTY, 	1.00 ," 	149,310 ",4087,ASST CITY ATTY, 	1.00 ," 	149,310 ",4087,ASST CITY ATTY, 	1.00 ," 	149,310 ",4087,ASST CITY ATTY,1," 	149,310 ",4087,ASST CITY ATTY,1," 	149,310 ",4087,ASST CITY ATTY,1," 	149,310 ",4087,ASST CITY ATTY, 	1.00 ," 	154,162 ",4087,ASST CITY ATTY-23, 	1.00 ," 	154,162 ",4087,ASST CITY ATTY-23, 	1.00 ," 	154,162 "
25,ASST CITY ATTY, 	1.00 ,ATTORNEY," 	78,825 ",9053,ASST CITY ATTY, 	1.00 ," 	65,755 ",9053,ASST CITY ATTY,1.00," 	65,755 ",9053,ASST CITY ATTY,1.00," 	65,755 ",9053,ASST CITY ATTY,1," 	65,755 ",9053,ASST CITY ATTY,1," 	67,070 ",9053,ASST CITY ATTY,1," 	67,070 ",9053,ASST CITY ATTY,1," 	67,070 ",9053,ASST CITY ATTY,1," 	67,070 ",9053,ASST CITY ATTY,1," 	67,070 ",9053,ASST CITY ATTY,1," 	71,530 ",9053,ASST CITY ATTY, 	1.00 ," 	71,530 ",9053,ASST CITY ATTY, 	1.00 ," 	71,530 ",9053,ASST CITY ATTY, 	1.00 ," 	71,530 ",9053,ASST CITY ATTY, 	1.00 ," 	71,530 ",9053,ASST CITY ATTY, 	1.00 ," 	71,530 ",9053,ASST CITY ATTY, 	1.00 ," 	71,530 ",9053,ASST CITY ATTY, 	1.00 ," 	71,530 ",9053,ASST CITY ATTY, 	1.00 ," 	71,530 ",9053,ASST CITY ATTY,1," 	71,530 ",9053,ASST CITY ATTY,1," 	71,530 ",9053,ASST CITY ATTY,1," 	71,530 ",9053,ASST CITY ATTY, 	1.00 ," 	73,855 ",9053,ASST CITY ATTY-23, 	1.00 ," 	73,855 ",9053,ASST CITY ATTY-23, 	1.00 ," 	73,855 "
26,SECRETARY 2-LEGAL, 	1.00 ,ATTORNEY," 	58,522 ",4118,SECRETARY 2-LEGAL, 	1.00 ," 	54,038 ",4118,SECRETARY 2-LEGAL,1.00," 	54,038 ",4118,SECRETARY 2-LEGAL,1.00," 	54,038 ",4118,SECRETARY 2-LEGAL,1," 	54,038 ",4118,SECRETARY 2-LEGAL,1," 	55,118 ",4118,SECRETARY 2-LEGAL,1," 	55,118 ",4118,SECRETARY 2-LEGAL,1," 	55,118 ",4118,SECRETARY 2-LEGAL,1," 	55,118 ",4118,SECRETARY 2-LEGAL,1," 	55,118 ",4118,SECRETARY 2-LEGAL,1," 	55,670 ",4118,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 ",4118,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 ",4118,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 ",4118,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 ",4118,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 ",4118,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 ",4118,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 ",4118,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 ",4118,SECRETARY 2-LEGAL,1," 	55,670 ",4118,SECRETARY 2-LEGAL,1," 	55,670 ",4118,SECRETARY 2-LEGAL,1," 	55,670 ",4118,SECRETARY 2-LEGAL, 	1.00 ," 	57,479 ",4118,SECRETARY 2-LEGAL-20, 	1.00 ," 	57,479 ",4118,SECRETARY 2-LEGAL-20, 	1.00 ," 	57,479 "
29,ASST CITY ATTY, 	1.00 ,ATTORNEY," 	97,726 ",1159,ASST CITY ATTY, 	1.00 ," 	88,933 ",1159,ASST CITY ATTY,1.00," 	88,933 ",1159,ASST CITY ATTY,1.00," 	88,933 ",1159,ASST CITY ATTY,1," 	88,933 ",1159,ASST CITY ATTY,1," 	90,711 ",1159,ASST CITY ATTY,1," 	90,711 ",1159,ASST CITY ATTY,1," 	90,711 ",1159,ASST CITY ATTY,1," 	90,711 ",1159,ASST CITY ATTY,1," 	90,711 ",1159,ASST CITY ATTY,1," 	91,618 ",1159,ASST CITY ATTY, 	1.00 ," 	91,618 ",1159,ASST CITY ATTY, 	1.00 ," 	91,618 ",1159,ASST CITY ATTY, 	1.00 ," 	91,618 ",1159,ASST CITY ATTY, 	1.00 ," 	91,618 ",1159,ASST CITY ATTY, 	1.00 ," 	91,618 ",1159,ASST CITY ATTY, 	1.00 ," 	94,287 ",1159,ASST CITY ATTY, 	1.00 ," 	94,287 ",1159,ASST CITY ATTY, 	1.00 ," 	94,287 ",1159,ASST CITY ATTY,1," 	94,287 ",1159,ASST CITY ATTY,1," 	94,287 ",1159,ASST CITY ATTY,1," 	94,287 ",1159,ASST CITY ATTY, 	1.00 ," 	97,351 ",1159,ASST CITY ATTY-23, 	1.00 ," 	97,351 ",1159,ASST CITY ATTY-23, 	1.00 ," 	97,351 "
33,ALDERMAN, 	-   ,CMN CNCL, 	-   ,1032,ALDERMAN, 	1.00 ," 	12,692 ",1032,ALDERMAN,1.00," 	12,883 ",1032,ALDERMAN,1.00," 	12,883 ",1032,ALDERMAN,1," 	12,979 ",1032,ALDERMAN,1," 	12,979 ",1032,ALDERMAN,1," 	12,979 ",1032,ALDERMAN,1," 	12,979 ",1032,ALDERMAN,1," 	12,979 ",1032,ALDERMAN,1," 	12,979 ",1032,ALDERMAN,1," 	12,979 ",1032,ALDERMAN, 	1.00 ," 	12,980 ",1032,ALDERMAN, 	1.00 ," 	12,980 ",1032,ALDERMAN, 	1.00 ," 	12,980 ",1032,ALDERMAN, 	1.00 ," 	12,980 ",1032,ALDERMAN, 	1.00 ," 	12,980 ",1032,ALDERMAN, 	1.00 ," 	13,272 ",1032,ALDERMAN, 	1.00 ," 	13,272 ",1032,ALDERMAN, 	1.00 ," 	13,272 ",1032,ALDERMAN,1," 	13,272 ",1032,ALDERMAN,1," 	13,272 ",1032,ALDERMAN,1," 	13,272 ",1032,ALDERMAN, 	1.00 ," 	13,272 ",1032,ALDER-19, 	1.00 ," 	13,272 ",1032,ALDER-19, 	1.00 ," 	13,272 "
37,COUNCIL PRESIDENT, 	-   ,CMN CNCL, 	-   ,4130,COUNCIL PRES, 	1.00 ," 	15,444 ",4130,COUNCIL PRESIDENT,1.00," 	15,676 ",4130,COUNCIL PRESIDENT,1.00," 	15,676 ",1402,COUNCIL PRESIDENT,1," 	15,793 ",1402,COUNCIL PRESIDENT,1," 	15,793 ",1402,COUNCIL PRESIDENT,1," 	15,793 ",1402,COUNCIL PRESIDENT,1," 	15,793 ",1402,COUNCIL PRESIDENT,1," 	15,793 ",1402,COUNCIL PRESIDENT,1," 	15,793 ",1402,COUNCIL PRESIDENT,1," 	15,794 ",1402,COUNCIL PRESIDENT, 	1.00 ," 	15,794 ",1402,COUNCIL PRESIDENT, 	1.00 ," 	15,794 ",1402,COUNCIL PRESIDENT, 	1.00 ," 	15,794 ",1402,COUNCIL PRESIDENT, 	1.00 ," 	15,794 ",7635,COUNCIL PRESIDENT, 	1.00 ," 	15,794 ",7635,COUNCIL PRESIDENT, 	1.00 ," 	16,149 ",7635,COUNCIL PRESIDENT, 	1.00 ," 	16,149 ",7635,COUNCIL PRESIDENT, 	1.00 ," 	16,149 ",7635,COUNCIL PRESIDENT,1," 	16,149 ",7635,COUNCIL PRESIDENT,1," 	16,149 ",7635,COUNCIL PRESIDENT,1," 	16,149 ",7635,COUNCIL PRESIDENT, 	1.00 ," 	16,149 ",7635,COUNCIL PRESIDENT-19, 	1.00 ," 	16,149 ",7635,COUNCIL PRESIDENT-19, 	1.00 ," 	16,149 "
43,COUNCIL VICE PRESIDE, 	-   ,CMN CNCL, 	-   ,1402,COUNCIL PRES PRO TEM, 	1.00 ," 	13,692 ",1402,COUNCIL PRES PRO TEM-19,1.00," 	13,898 ",1402,COUNCIL PRES PRO TEM-19,1.00," 	13,898 ",7635,COUNCIL VICE PRESIDE,1," 	14,002 ",7635,COUNCIL VICE PRESIDE,1," 	14,002 ",7635,COUNCIL VICE PRESIDE,1," 	14,002 ",7635,COUNCIL VICE PRESIDE,1," 	14,002 ",7635,COUNCIL VICE PRESIDE,1," 	14,002 ",7635,COUNCIL VICE PRESIDE,1," 	14,002 ",7635,COUNCIL VICE PRESIDE,1," 	14,002 ",7635,COUNCIL VICE PRESIDE, 	1.00 ," 	14,002 ",7635,COUNCIL VICE PRESIDE, 	1.00 ," 	14,002 ",7635,COUNCIL VICE PRESIDE, 	1.00 ," 	14,002 ",7635,COUNCIL VICE PRESIDE, 	1.00 ," 	14,002 ",4778,COUNCIL VICE PRESIDE, 	1.00 ," 	14,002 ",4778,COUNCIL VICE PRESIDE, 	1.00 ," 	14,317 ",4778,COUNCIL VICE PRESIDE, 	1.00 ," 	14,317 ",4778,COUNCIL VICE PRESIDE, 	1.00 ," 	14,317 ",4778,COUNCIL VICE PRESIDE,1," 	14,317 ",4778,COUNCIL VICE PRESIDE,1," 	14,317 ",4778,COUNCIL VICE PRESIDE,1," 	14,317 ",4778,COUNCIL VICE PRESIDE, 	1.00 ," 	14,317 ",4778,COUNCIL VICE PRESIDENT-19, 	1.00 ," 	14,317 ",4778,COUNCIL VICE PRESIDENT-19, 	1.00 ," 	14,317 "
45,LEGIS MGMT SYS ANALY, 	1.00 ,CMN CNCL," 	66,429 ",3739,ADMIN ASST, 	1.00 ," 	62,213 ",3739,ADMIN ASST,1.00," 	62,213 ",3739,ADMIN ASST,1.00," 	62,213 ",3739,ADMIN ASST,1," 	62,213 ",3739,ADMIN ASST,1," 	63,457 ",3739,ADMIN ASST,1," 	63,457 ",3739,ADMIN ASST,1," 	63,457 ",3739,ADMIN ASST,1," 	63,457 ",3739,ADMIN ASST,1," 	63,457 ",3739,ADMIN ASST,1," 	64,092 ",3739,ADMIN ASST, 	1.00 ," 	64,092 ",3739,ADMIN ASST, 	1.00 ," 	64,092 ",3739,ADMIN ASST, 	1.00 ," 	64,092 ",3739,ADMIN ASST, 	1.00 ," 	64,092 ",3739,ADMIN ASST, 	1.00 ," 	64,092 ",3739,ADMIN ASST, 	1.00 ," 	64,092 ",3739,ADMIN ASST, 	1.00 ," 	64,092 ",3739,LEGIS MGMT SYS ANALY, 	1.00 ," 	69,262 ",3739,LEGIS MGMT SYS ANALY,1," 	69,262 ",3739,LEGIS MGMT SYS ANALY,1," 	69,262 ",3739,LEGIS MGMT SYS ANALY,1," 	69,262 ",3739,LEGIS MGMT SYS ANALY, 	1.00 ," 	71,513 ",3739,LEGIS MGMT SYSTEM SPEC, 	1.00 ," 	71,513 ",3739,LEGIS MGMT SYSTEM SPEC, 	1.00 ," 	71,513 "
54,PROGRAM ASST 2-17, 	1.00 ,CMN CNCL," 	58,403 ",4110,SECRETARY 1, 	1.00 ," 	54,073 ",4110,SECRETARY 1,1.00," 	54,073 ",4110,SECRETARY 1,1.00," 	54,073 ",4110,SECRETARY 1,1," 	54,073 ",4110,SECRETARY 1,1," 	55,154 ",4110,SECRETARY 1,1," 	55,154 ",4110,SECRETARY 1,1," 	55,154 ",4110,SECRETARY 1,1," 	55,660 ",4110,SECRETARY 1,1," 	55,660 ",4110,SECRETARY 1,1," 	56,217 ",4110,SECRETARY 1, 	1.00 ," 	56,217 ",4110,SECRETARY 1, 	1.00 ," 	56,217 ",4110,SECRETARY 1, 	1.00 ," 	56,217 ",4110,SECRETARY 1, 	1.00 ," 	56,217 ",4110,SECRETARY 1, 	1.00 ," 	56,217 ",4110,SECRETARY 1, 	1.00 ," 	56,217 ",4110,SECRETARY 1, 	1.00 ," 	56,217 ",4110,SECRETARY 1, 	1.00 ," 	56,217 ",4110,SECRETARY 1,1," 	56,217 ",4110,PROGRAM ASST 2-17,1," 	59,541 ",4110,PROGRAM ASST 2-17,1," 	59,541 ",4110,PROGRAM ASST 2-17, 	1.00 ," 	61,476 ",4110,PROGRAM ASST 2-17, 	1.00 ," 	61,476 ",4110,PROGRAM ASST 2-17, 	1.00 ," 	61,476 "
56,SECY TO MAYOR, 	1.00 ,MAYOR," 	58,164 ",9084,SECY TO MAYOR, 	1.00 ," 	50,837 ",9084,SECY TO MAYOR,1.00," 	50,837 ",9084,SECY TO MAYOR,1.00," 	50,837 ",9084,SECY TO MAYOR,1," 	50,837 ",9084,SECY TO MAYOR,1," 	51,853 ",9084,SECY TO MAYOR,1," 	51,853 ",9084,SECY TO MAYOR,1," 	51,853 ",9084,SECY TO MAYOR,1," 	51,853 ",9084,SECY TO MAYOR,1," 	51,853 ",9084,SECY TO MAYOR,1," 	54,081 ",9084,SECY TO MAYOR, 	1.00 ," 	54,081 ",9084,SECY TO MAYOR, 	1.00 ," 	54,081 ",9084,SECY TO MAYOR, 	1.00 ," 	54,081 ",9084,SECY TO MAYOR, 	1.00 ," 	54,081 ",9084,SECY TO MAYOR, 	1.00 ," 	54,081 ",9084,SECY TO MAYOR, 	1.00 ," 	54,081 ",9084,SECY TO MAYOR, 	1.00 ," 	54,081 ",9084,SECY TO MAYOR, 	1.00 ," 	54,081 ",9084,SECY TO MAYOR,1," 	54,081 ",9084,SECY TO MAYOR,1," 	54,081 ",9084,SECY TO MAYOR,1," 	54,081 ",9084,SECY TO MAYOR, 	1.00 ," 	57,777 ",9084,SECY TO MAYOR-19, 	1.00 ," 	57,777 ",9084,SECY TO MAYOR-19, 	1.00 ," 	57,777 "
57,MAYORAL OFF CLK, 	1.00 ,MAYOR," 	51,663 ",9029,MAYORAL OFF CLK, 	1.00 ," 	45,216 ",9029,MAYORAL OFF CLK,1.00," 	45,216 ",9029,MAYORAL OFF CLK,1.00," 	45,216 ",9029,MAYORAL OFF CLK,1," 	45,216 ",9029,MAYORAL OFF CLK,1," 	46,121 ",9029,MAYORAL OFF CLK,1," 	46,121 ",9029,MAYORAL OFF CLK,1," 	46,121 ",9029,MAYORAL OFF CLK,1," 	46,121 ",9029,MAYORAL OFF CLK,1," 	47,353 ",9029,MAYORAL OFF CLK,1," 	47,827 ",9029,MAYORAL OFF CLK, 	1.00 ," 	47,827 ",9029,MAYORAL OFF CLK, 	1.00 ," 	47,827 ",9029,MAYORAL OFF CLK, 	1.00 ," 	47,827 ",9029,MAYORAL OFF CLK, 	1.00 ," 	47,827 ",9029,MAYORAL OFF CLK, 	1.00 ," 	47,827 ",9029,MAYORAL OFF CLK, 	1.00 ," 	47,827 ",9029,MAYORAL OFF CLK, 	1.00 ," 	47,827 ",9029,MAYORAL OFF CLK, 	1.00 ," 	47,827 ",VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,3258,MAYORAL OFF CLK-17, 	1.00 ," 	56,988 "
58,MAYORAL OFF CLK, 	1.00 ,MAYOR," 	51,286 ",9227,MAYORAL OFF CLK, 	1.00 ," 	45,216 ",9227,MAYORAL OFF CLK,1.00," 	45,216 ",9227,MAYORAL OFF CLK,1.00," 	45,216 ",9227,MAYORAL OFF CLK,1," 	45,216 ",9227,MAYORAL OFF CLK,1," 	46,121 ",9227,MAYORAL OFF CLK,1," 	46,121 ",9227,MAYORAL OFF CLK,1," 	46,121 ",9227,MAYORAL OFF CLK,1," 	46,121 ",9227,MAYORAL OFF CLK,1," 	46,121 ",9227,MAYORAL OFF CLK,1," 	46,582 ",9227,MAYORAL OFF CLK, 	1.00 ," 	46,582 ",9227,MAYORAL OFF CLK, 	1.00 ," 	47,827 ",9227,MAYORAL OFF CLK, 	1.00 ," 	47,827 ",9227,MAYORAL OFF CLK, 	1.00 ," 	47,827 ",9227,MAYORAL OFF CLK, 	1.00 ," 	47,827 ",9227,MAYORAL OFF CLK, 	1.00 ," 	47,827 ",9227,MAYORAL OFF CLK, 	1.00 ," 	47,827 ",9227,MAYORAL OFF CLK, 	1.00 ," 	47,827 ",9227,MAYORAL OFF CLK,1," 	47,827 ",9227,MAYORAL OFF CLK,1," 	47,827 ",9227,MAYORAL OFF CLK,1," 	47,827 ",9227,MAYORAL OFF CLK, 	1.00 ," 	49,381 ",9227,MAYORAL OFF CLK-17, 	1.00 ," 	49,381 ",9227,MAYORAL OFF CLK-17, 	1.00 ," 	51,216 "
