Incident,Date,Incident Type,Address,Longitude,Latitude,Time,Response
"Dryer Fire Extinguished On Winnebago Street","02/06/2016","Appliance","2000 Block Winnebago St, Madison, WI","-89.354872","43.092437","2016-02-06T11:32:00-06:00","0:04:00"
"MFD Sent To Town Of Burke For Special Rescue","02/04/2016","Special Rescue","5400 Block Express Circle, Town of Burke, WI","ml>
<html lang=","tml>
<html lang=","2016-02-04T15:34:00-06:00","0:10:00"
"No Fire Found After Firefighters Investigate Odor at Boston Store","02/03/2016","Smoke Scare","West Towne Way, Madison, WI","-89.510186","43.057183","2016-02-03T12:46:00-06:00","0:05:00"
"Basement Smoke Sends MFD To Nursing Home","02/03/2016","Excessive heat/scorch","100 Block Belmont Rd, Madison, WI","-89.313688","43.096046","2016-02-03T07:08:00-06:00","0:04:00"
"Compromised Propane Fuel Line Sends Firefighters to Prairie Ave.","02/02/2016","Outdoor","3500 Block Prairie Ave, Madison, WI","-89.325723","43.114191","2016-02-02T15:42:00-06:00","0:05:00"
"Chimney Collapses In Greenbush Neighborhood","01/30/2016","Structure","600 Block S. Orchard St, Madison, WI","-89.406943","43.060970","2016-01-30T18:05:00-06:00","0:04:00"
"Security Reports Possible Gas Leak at Downtown Apartment Complex","01/30/2016","Gas Leak","1000 Block W. Johnson St, Madison, WI","-89.374362","43.085942","2016-01-30T00:01:00-06:00","0"
"MFD Investigates Burning Smell at Van Hise Hall","01/29/2016","Electrical","1200 Block Linden Dr, Madison, WI","-89.406244","43.075126","2016-01-29T17:59:00-06:00","0:04:00"
"Blocked Oven Vents Bake Up Carbon Monoxide On North Side","01/28/2016","Carbon Monoxide","Sherman Terrace, Madison, WI","-89.365961","43.096019","2016-01-28T16:20:00-06:00","0:05:00"
"Cause Of Memorial Union Attic Fire Under Investigation","01/28/2016","Structure","800 Block Langdon St, Madison, WI","-89.399868","43.076479","2016-01-28T15:26:00-06:00","0:03:00"
"Smoke Scare Sends Firefighters to Concourse Hotel","01/28/2016","Smoke Scare","W. Dayton St, Madison, WI","-89.399952","43.070947","2016-01-28T08:41:00-06:00","0:02:00"
"Birds Nest Catches Fire Along PDQ Awning","01/27/2016","Excessive heat/scorch","4400 Block E. Buckeye Road, Madison, WI","-89.317740","43.075192","2016-01-27T16:24:00-06:00","0:02:00"
"Cause Of North Side Vehicle Fire Under Investigation","01/27/2016","Vehicle","Vera Court at School Road, Madison, WI","-89.383159","43.134568","2016-01-27T16:03:00-06:00","0:03:00"
"DOC Facility Evacuated After Cleaning Chemicals Mix","01/26/2016","Hazmat","5700 Block Odana Rd, Madison, WI","-89.479128","43.050381","2016-01-26T19:59:00-06:00","0:05:00"
