Incident,Date,Incident Type,Address,Time
"Firefighters Assist Woman Who Fell Inside Her Home","10/20/2018","Assist Citizen","1900 Block Atwood Avenue, Madison, WI","2018-10-20T12:55:00-05:00"
"Large Tree Limb Takes Down Power Lines, Garage","10/20/2018","Power lines down","4200 Block Doncaster Drive, Madison, WI","2018-10-20T11:26:00-05:00"
"Overheated Elevator Motor Sends Firefighters To Apartment Complex","10/19/2018","Elevator","1600 Block Fordem Ave, Madison, WI","2018-10-19T07:29:00-05:00"
"Firefighters Assist Child Locked In Vehicle","10/18/2018","Lock out/Lock in","300 Block Wisconsin Avenue, Madison, WI","2018-10-18T15:01:00-05:00"
"Discarded Cigarette Starts Fire In City Sewer","10/18/2018","Smoke Scare","200 Block W. Gorham Street, Madison, WI","2018-10-18T14:42:00-05:00"
"Fire Damages Construction Site On Manufacturers Drive","10/17/2018","Structure","6500 Block Manufacturers Drive, Madison, WI","2018-10-17T11:01:00-05:00"
"Beetles Caught In Light Fixture Cause Smoke Scare In Area Home","10/16/2018","Smoke Scare","1400 Block Vilas Avenue, Madison, WI","2018-10-16T19:02:00-05:00"
"Firefighters Respond To Carbon Monoxide Leak At Area Restaurant","10/15/2018","Carbon Monoxide","7000 Block Mineral Point Road, Madison, WI","2018-10-15T07:05:00-05:00"
"Incense Placed In Roll Of Toilet Paper Leads To Bathroom Fire","10/12/2018","Structure","800 Block Vernon Ave, Madison, WI","2018-10-12T15:42:00-05:00"
"Two Taken To Hospital Following Downtown Crash","10/11/2018","Vehicle","W. Johnson Street & Broom Street, Madison, WI 53703","2018-10-11T11:03:00-05:00"
"Firefighters Respond To Reports Of Smoke, Find Burned Pizzas and Intoxicated Occupant","10/10/2018","Cooking","1600 Block Lake Point Drive, Madison, WI","2018-10-10T21:18:00-05:00"
"Wash Machine Malfunction Sends Firefighters To Apartment Complex","10/10/2018","Appliance","500 Block University Ave, Madison, WI","2018-10-10T17:15:00-05:00"
"Driver Injured In Crash At Willy Street Intersection","10/08/2018","Vehicle","600 Block Williamson Street, Madison, WI 53703","2018-10-08T19:28:00-05:00"
"Car Pulls Away From Gas Pump, Leading To A Fuel Spill","10/08/2018","Fuel Spill","3800 Block East Washington Ave, Madison, WI","2018-10-08T17:01:00-05:00"
"Woman Treated, Transported After Being Struck By Vehicle","10/05/2018","EMS","Langdon Street & Henry Street, Madison, WI","2018-10-05T00:02:00-05:00"
"Charcoal May Have Contributed To Stovetop Fire","10/04/2018","Cooking","2900 Block Curry Parkway, Madison, WI","2018-10-04T13:35:00-05:00"
"Firefighters Pinpoint Carbon Monoxide Leak To Oven","10/02/2018","Carbon Monoxide","2000 Block Monroe Street, Madison, WI","2018-10-02T20:07:00-05:00"
"Nakoma Road Fire Under Investigation","09/28/2018","Structure","3800 Block Nakoma Road, Madison, WI","2018-09-28T07:33:00-05:00"
"Straw Catches Fire On Back Of Freight Liner","09/27/2018","Vehicle","County Highway AB & US Highway 12, Madison, WI","2018-09-27T12:57:00-05:00"
"Downtown Residents Experience Similar Symptoms; Bear Repellant To Blame","09/25/2018","Odor Investigation","400 Block W. Johnson Street, Madison, WI 53703","2018-09-25T19:59:00-05:00"
"Rollover Crash On University Avenue Sends One To Hospital","09/24/2018","Vehicle","University Avenue & University Bay Drive, Madison, WI","2018-09-24T14:30:00-05:00"
"Vehicle Fire Traced To Improperly Stowed Gas Cylinder","09/24/2018","Vehicle","S. Stoughton Road & E. Broadway, Madison, WI","2018-09-24T13:34:00-05:00"
"Carelessly Discarded Cigarettes Start Two Balcony Fires On East Side","09/22/2018","Smoking","1600 Block Fordem Ave, Madison, WI","2018-09-22T22:33:00-05:00"
"East Side Gas Leak Prompts Reminder To Call Digger's Hotline","09/22/2018","Gas Leak","5300 Block Forge Drive, Madison, WI","2018-09-22T13:59:00-05:00"
"Occupant Grills Under Garage Overhang, Melting Door","09/15/2018","Structure","900 Block N. Thompson Dr, Madison, WI 53704","2018-09-15T14:42:00-05:00"
"Car Crashes Into East Side Business, Driver Injured","09/15/2018","Vehicle","2800 Block E. Washington Ave, Madison, WI","2018-09-15T12:30:00-05:00"
"Ladder Company 6 Assists Man Who Fell While Mowing The Lawn","09/12/2018","EMS","Arbor Hills Neighborhood, Madison, WI","2018-09-12T15:12:00-05:00"
"Carbon Monoxide Leak Traced To New Oven","09/12/2018","Carbon Monoxide","Dudgeon-Monroe Neighborhood, Madison, WI","2018-09-12T10:57:00-05:00"
"Moped Fire In Underground Garage Contained By Automatic Sprinkler","09/12/2018","Vehicle","100 Block N. Bedford Street, Madison, WI","2018-09-12T08:51:00-05:00"
"Neighbor Puts A Stop To Fire Inside Oven","09/08/2018","Cooking","700 Block Braxton Place, Madison, WI","2018-09-08T23:17:00-05:00"
"Engine 8 Called To Vehicle Fire On the Interstate","09/08/2018","Vehicle","I-90 (westbound), Madison, WI","2018-09-08T20:12:00-05:00"
"Memorial Union Evacuated Briefly Thursday Night; No Gas Leak Found","09/06/2018","Gas Leak","800 Block Memorial Union, Madison, WI 53706","2018-09-06T22:18:00-05:00"
"Paramedics Deliver Two Babies In Two Days","09/06/2018","EMS","Madison, WI","2018-09-06T21:23:00-05:00"
"Stinky Smoke Summons Engine 5 To Unattended Backyard Fire","09/06/2018","Outdoor","600 Block Merryturn Road, Madison, WI","2018-09-06T18:53:00-05:00"
"Lake Rescue Team Responds To Juvenile In Distress On Lake Monona","09/04/2018","Lake Rescue","Lake Monona, Madison, WI","2018-09-04T11:41:00-05:00"
"Smoke-Charged Electrical Outlet Likely The Result Of Lightning Strike","09/03/2018","Electrical","3900 Block Cosgrove Drive, Madison, WI","2018-09-03T09:57:00-05:00"
"One Taken To Hospital Following Rollover Crash","09/01/2018","Vehicle","7600 Block Farmington Way, Madison, WI","2018-09-01T20:07:00-05:00"
"Dishwasher Fire Causes Damage, Displacing One On East Side","08/30/2018","Appliance","500 Block Meadowlark Drive, Madison, WI","2018-08-30T19:17:00-05:00"
"Maggot-Killing Plot Turns Toxic After Household Cleaners Combine","08/28/2018","Hazmat","Aztalan Drive, Madison, WI","2018-08-28T18:24:00-05:00"
"Carbon Monoxide Leak Found At Downtown Restaurant","08/25/2018","Carbon Monoxide","200 Block State Street, Madison, WI 53703","2018-08-25T00:41:00-05:00"
"Vehicle Fire Briefly Threatens Downtown Apartment Building","08/21/2018","Vehicle","200 Block N. Pinckney Street, Madison, WI","2018-08-21T21:20:00-05:00"
"Search Underway For Missing Man Swept Away In West Side Floods","08/20/2018","Assist Citizen","Piping Rock Road & Chapel Hill Road, Madison, WI 53711","2018-08-20T21:07:00-05:00"
"Madison Fire Department Responds To Over 100 Flood-Related Emergencies","08/20/2018","Special Rescue","Madison, WI","2018-08-20T17:21:00-05:00"
"Early Morning House Fire on Madison's West Side","08/19/2018","Structure","4600 Block Gray Fox Trail, Madison, WI","2018-08-19T04:21:00-05:00"
"Carpet Cleaning Solution Kicks Up Carbon Monoxide At University Ave. Apartments","08/14/2018","Carbon Monoxide","2300 Block University Avenue, Madison, WI","2018-08-14T21:41:00-05:00"
"Neighbor Alerts Firefighters To Smoking Futon","08/13/2018","Structure","200 Block Waubesa Street, Madison, WI","2018-08-13T23:10:00-05:00"
"Fire At Greystone Condominiums Displaces 18","08/13/2018","Structure","700 Block Cricket Lane, Madison, WI","2018-08-13T10:29:00-05:00"
"Driver Injured After Crashing Into Building","08/11/2018","Vehicle","3700 Block University Avenue, Madison, WI","2018-08-11T00:58:00-05:00"
"Illegal Mattress Burning Sends Engine 4 To Lathrop Street","08/07/2018","Unauthorized Burning","100 Block Lathrop Street, Madison, WI","2018-08-07T23:27:00-05:00"
"Fire Displaces Multiple East Side Residents, Cause Under Investigation","08/07/2018","Structure","5000 Block Pendleton Drive, Madison, WI","2018-08-07T20:54:00-05:00"
"Cooking Fire Prompts Safety Reminders For Dealing With Oil-Based Flames","08/05/2018","Cooking","Siggelkow Road, Madison, WI","2018-08-05T12:10:00-05:00"
"Engine 4 Discovers Garage Fire On Allen Street, Cause Under Investigation","07/31/2018","Structure","200 Block N. Allen Street, Madison, WI","2018-07-31T00:25:00-05:00"
"Nobody Injured In Car-Versus-Building Crash","07/30/2018","Vehicle","500 Block S. Midvale Blvd, Madison, WI","2018-07-30T20:32:00-05:00"
"Two Injured In Rollover Crash","07/28/2018","Vehicle","East Pass & S. Stone Creek Circle, Madison, WI","2018-07-28T00:56:00-05:00"
"Fire Found Between Orpheum Theater and Parking Ramp; Cause Unknown","07/27/2018","Structure","200 Block N. Carroll Street, Madison, WI","2018-07-27T17:55:00-05:00"
"Bystander Extinguishes Fire Early, Saving Vehicle and Food Cart","07/26/2018","Vehicle","2900 Block East Washington Avenue, Madison, WI","2018-07-26T13:32:00-05:00"
"Clothes Catch Fire, Dryer Removed From East Side Home","07/24/2018","Appliance","500 Block North Star Drive, Madison, WI","2018-07-24T21:42:00-05:00"
"Crews Respond To Significant Gasoline Spill On West Side","07/24/2018","Hazmat","7700 Block Mineral Point Road, Madison, WI","2018-07-24T11:18:00-05:00"
"No Damage Or Injuries Following Contained Fireplace Explosion","07/19/2018","Appliance","6200 Block Seven Pines Avenue, Madison, WI","2018-07-19T22:14:00-05:00"
"Fire Totals Mobile Food Cart","07/18/2018","Vehicle","600 Block Post Road, Madison, WI","2018-07-18T20:04:00-05:00"
"Grease Fire Melts Vinyl Siding","07/18/2018","Structure","5400 Block Katie Lane, Madison, WI","2018-07-18T16:58:00-05:00"
"Frayed Electrical Wires Lead To Fire In East Side Attic","07/16/2018","Structure","1100 Block Mifflin Street, Madison, WI","2018-07-16T19:22:00-05:00"
"Laptop Pops, Smokes Up Downtown Apartment","07/16/2018","Explosion","300 Block W. Main Street, Madison, WI","2018-07-16T17:51:00-05:00"
"Automatic Sprinkler Extinguishes Fire At FedEx Facility","07/15/2018","Structure","3900 Block Hanson Road, Madison, WI","2018-07-15T03:36:00-05:00"
"Engine 4 Responds To Basement Gas Leak","07/13/2018","Gas Leak","1100 Block Grant Street, Madison, WI","2018-07-13T20:24:00-05:00"
"Rage Against the Slot Machine Sends Paramedics To Ho-Chunk Casino","07/12/2018","EMS","4000 Block Evan Acres Road, Madison, WI","2018-07-12T17:36:00-05:00"
"Branch Smolders After Falling Onto Power Line","07/12/2018","Electrical","2900 Block Curry Parkway, Madison, WI","2018-07-12T11:29:00-05:00"
"Grease Spill Ignites Grill Fire On Barby Lane","07/11/2018","Cooking","4100 Block Barby Lane, Madison, WI","2018-07-11T19:36:00-05:00"
"Smoke Coming From Machine Sends Firefighters To West Side Princeton Club","07/10/2018","Electrical","8000 Block Watts Road, Madison, WI","2018-07-10T19:53:00-05:00"
"Fire In Commercial Sweeper Contained At Camp Randall Stadium","07/09/2018","Appliance","1400 Block Monroe Street, Madison, WI","2018-07-09T14:20:00-05:00"
"Dump Truck Yanks Power Line from Olin Avenue Home","07/09/2018","Electrical","800 Block W. Olin Avenue, Madison, WI","2018-07-09T14:13:00-05:00"
"Engine 10 Sent To Repeated Fires In Northside Pedestrian Tunnel","07/07/2018","Trash/Rubbish","Troy Drive & School Road, Madison, WI","2018-07-07T23:35:00-05:00"
"Residents Were Displaced After An Early Morning Fire On The 500 Block of West Washington Avenue","07/07/2018","Structure","500 Block West Washington, Madison, WI","2018-07-07T04:04:00-05:00"
"Box Of Fireworks Catches Fire In Park Shelter","07/06/2018","Trash/Rubbish","2300 Block Revival Ridge, Madison, WI","2018-07-06T21:32:00-05:00"
"Discarded Fireworks Start Fire, Causing Damage To Nearby Fence","07/04/2018","Trash/Rubbish","400 Block Moorland Road, Madison, WI","2018-07-04T22:53:00-05:00"
"Two Injured In East Washington Avenue Crash","07/04/2018","Vehicle","900 Block E. Washington Ave, Madison, WI","2018-07-04T14:23:00-05:00"
"Fire In Downtown Apartment Extinguished By Automatic Fire Sprinkler","07/03/2018","Structure","100 Block S. Mills Street, Madison, WI","2018-07-03T02:21:00-05:00"
"Woman Locked In Basement Pulls Fire Alarm To Call For Help","07/02/2018","Lock out/Lock in","2300 Block S. Park Street, Madison, WI","2018-07-02T12:03:00-05:00"
"Firefighters Contain Damage Caused By Fire In Bathroom Vent","07/01/2018","Structure","100 Block Craig Avenue, Madison, WI","2018-07-01T06:10:00-05:00"
"Fire Damages Vehicle In Walmart Parking Lot","06/30/2018","Vehicle","700 Block Watts Road, Madison, WI","2018-06-30T13:39:00-05:00"
"Driver Pinned, Injured In Single-Vehicle Crash","06/26/2018","Vehicle","200 Block Cottage Grove Road, Madison, WI","2018-06-26T19:28:00-05:00"
"Apartment Fire Displaces one Resident","06/19/2018","Structure","2000 Block Taft Street, Madison, WI","2018-06-19T19:26:00-05:00"
"Engine 12 Tackles Vehicle Fire On Beltline Highway","06/18/2018","Vehicle","U.S. Highway 12 Westbound & Gammon Road, Madison, WI","2018-06-18T10:27:00-05:00"
