Incident,Date,Incident Type,Address,Time
"Homeowner Returns To Find Bread On Fire","03/02/2016","Cooking","Ridgeview Ct, Madison, WI","2016-03-02T18:21:00-06:00"
"Two Asleep As Smoke Fills Southside Apartment","03/01/2016","Cooking","Magnolia Ln, Madison, WI","2016-03-01T21:32:00-06:00"
"SUV Strikes Building On West Side, Nobody Injured","03/01/2016","Vehicle","1500 Block McKenna Blvd, Madison, WI","2016-03-01T07:45:00-06:00"
"Engine 12 Investigates 'Electrical Burning Smell'","02/29/2016","Electrical","1600 Block Hidden Hill, Madison, WI","2016-02-29T12:23:00-06:00"
"MFD Breaks Up Bonfire On Lake Monona","02/27/2016","Outdoor","E. Wilson St, Madison, WI","2016-02-27T23:10:00-06:00"
"Lake Rescue Team Called To Lake Monona","02/27/2016","Special Rescue","Lake Monona, Madison, WI","2016-02-27T15:25:00-06:00"
"Woman Drops Keys In Sewer, Engine Company 3 Goes Fishing","02/26/2016","Outdoor","1300 Block E. Washington Ave, Madison, WI","2016-02-26T22:38:00-06:00"
"Firefighters Catch Active Fire Threat Early Thanks To Automatic Alarm","02/26/2016","Structure","Madison, WI","2016-02-26T21:41:00-06:00"
"Witness Alerts Driver To Impending Vehicle Fire","02/26/2016","Vehicle","7100 Block Flower Ln, Madison, WI","2016-02-26T20:41:00-06:00"
"Nobody Home As Dumplings Burn On Stovetop","02/26/2016","Excessive heat/scorch","600 Block Vera Ct, Madison, WI","2016-02-26T17:55:00-06:00"
"Alert Neighbor Reports Fire Brewing Inside Shorewood Hills Home","02/25/2016","Structure","3500 Block Blackhawk Dr, Madison, WI","2016-02-25T06:08:00-06:00"
"Dryer Removed After Underwear Goes Up In Smoke","02/24/2016","Appliance","Yuma Dr, Madison, WI","2016-02-24T20:28:00-06:00"
"Flue Fire Put Out With 'Chimney Bombs'","02/24/2016","Structure","2200 Block Aspen Rd, Madison, WI","2016-02-24T17:53:00-06:00"
"Plastic Bag Heats Up On Tailpipe of Badger Bus","02/24/2016","Vehicle","Thurston Ln. / Rosenberry Rd, Madison, WI","2016-02-24T07:12:00-06:00"
"Abandoned Motorcycle Found Amid Embers in Owen Park","02/24/2016","Vehicle","Jetty Dr. / Ozark Trail, Madison, WI","2016-02-24T03:52:00-06:00"
"Firefighters Search For Gas Leak On Langdon, Find Smoke Instead","02/23/2016","Structure","200 Block Langdon St, Madison, WI","2016-02-23T21:06:00-06:00"
"Car Fire on Portage Rd.","02/23/2016","Vehicle","2100 Block of Portage Road, Madison, WI","2016-02-23T16:19:00-06:00"
"Olive Oil Ignites After Cook Steps Away From Kitchen","02/23/2016","Cooking","2100 Block E. Washington Ave, Madison, WI","2016-02-23T10:49:00-06:00"
"Semi Driver Advised To Pull Over When Tire Catches Fire","02/22/2016","Vehicle","USH 12 Westbound at S. Park Street, Madison, WI","2016-02-22T13:15:00-06:00"
"Working Detector Alerts Family To Carbon Monoxide In Home","02/22/2016","Carbon Monoxide","3000 Block Manchester Rd, Madison, WI","2016-02-22T12:31:00-06:00"
"One Rescued From Lake Wingra After Passerby Hears Cries For Help","02/21/2016","Lake Rescue","N. Wingra Dr. / S. Mills St, Madison, WI","2016-02-21T20:04:00-06:00"
"Firefighters Attempt To Reach Patient As Van Crashes Into Ambulance","02/21/2016","Vehicle","E. Main St. / S. Butler St, Madison, WI","2016-02-21T18:42:00-06:00"
"Firefighters Douse Vehicle With 100 Gallons Of Water Following Alleged Arson Attempt","02/21/2016","Vehicle","2000 Block Packers Ave, Madison, WI","2016-02-21T17:06:00-06:00"
"Hazmat Team Sent To Watertown After Multiple Churchgoers Become Ill","02/21/2016","Hazmat","300 Block N. Sixth, Watertown, WI","2016-02-21T12:46:00-06:00"
"Neighbor Finds Moped On Fire In Backyard Burning Pit","02/21/2016","Vehicle","500 Block W. Mifflin St, Madison, WI","2016-02-21T02:58:00-06:00"
"Two Rescued From Campus Elevator","02/19/2016","Elevator","1500 Block Engineering Dr, Madison, WI","2016-02-19T18:56:00-06:00"
"Lamp Pole Starts On Fire Outside UW Residence Hall","02/18/2016","Outdoor","600 Block Elm Dr, Madison, WI","2016-02-18T20:18:00-06:00"
"Cat To Blame For Gas Leak Scare","02/17/2016","Gas Leak","300 Block N. Brearly, Madison, WI","2016-02-17T22:42:00-06:00"
"Lake Rescue Team Retrieves 2 People, 3 Dogs Off Lake Waubesa","02/15/2016","Lake Rescue","4200 Block Libby Rd./Lake Waubesa, Madison, WI","2016-02-15T08:48:00-06:00"
"Two Stuck In Downtown Elevator After Kicking Control Panel","02/13/2016","Elevator","400 Block N. Frances St, Madison, WI","2016-02-13T23:32:00-06:00"
"Engine 5 Called To Check Out RV Battery On North St.","02/13/2016","Vehicle","500 Block North St, Madison, WI","2016-02-13T21:16:00-06:00"
"Everybody Safe After E. Gorham Fire Displaces At Least 10 People","02/13/2016","Structure","100 Block E. Gorham St, Madison, WI","2016-02-13T20:15:00-06:00"
"East Side Teens Set Fire to Cardboard","02/13/2016","Outdoor","1000 Block Mayfair Ave, Madison, WI","2016-02-13T16:27:00-06:00"
"Fire Causes Major Damage at West Side Restaurant","02/12/2016","Structure","5000 Block University Ave, Madison, WI","2016-02-12T03:45:00-06:00"
"Firefighters Knock Down Vehicle Fire In Whitney Way Parking Lot","02/11/2016","Vehicle","600 Block S. Whitney Way, Madison, WI","2016-02-11T18:31:00-06:00"
"Firefighters Inspect For Carbon Monoxide After Homeowner Falls Ill","02/11/2016","Carbon Monoxide","Bonner Lane, Madison, WI","2016-02-11T16:37:00-06:00"
"Cast-Off Coat Activates Toaster In UW Dorm Room","02/10/2016","Appliance","1500 Block Tripp Circle, Madison, WI","2016-02-10T14:24:00-06:00"
"Cracked Baking Stone Causes Small Grease Fire","02/09/2016","Cooking","5000 Block Stonehaven Dr, Madison, WI","2016-02-09T19:34:00-06:00"
"Plastic Utensils Melt Inside Oven","02/09/2016","Cooking","4700 Block Sheboygan Ave, Madison, WI","2016-02-09T17:05:00-06:00"
"Engine 9 Called To Investigate Chemical Odor Inside Home","02/08/2016","Hazmat","5100 Block Shawano Ave, Madison, WI","2016-02-08T17:59:00-06:00"
"Intoxicated Cooking To Blame For Early-Morning Wake-Up Call","02/07/2016","Cooking","E. Gilman Street, Madison, WI","2016-02-07T02:12:00-06:00"
"Christmas Tree Fire Puts End To Large Party on Park Street","02/06/2016","Outdoor","1800 Block S. Park St, Madison, WI","2016-02-06T23:48:00-06:00"
"MFD Responds To Head-On Crash On Verona Rd.","02/06/2016","Vehicle","4500 Block Verona Rd, Madison, WI","2016-02-06T22:21:00-06:00"
"Concession Operations Temporarily Halted After Popcorn Fire","02/06/2016","Cooking","1700 Block Wright Street, Madison, WI","2016-02-06T15:18:00-06:00"
"Dryer Fire Extinguished On Winnebago Street","02/06/2016","Appliance","2000 Block Winnebago St, Madison, WI","2016-02-06T11:32:00-06:00"
"MFD Sent To Town Of Burke For Special Rescue","02/04/2016","Special Rescue","5400 Block Express Circle, Town of Burke, WI","2016-02-04T15:34:00-06:00"
"No Fire Found After Firefighters Investigate Odor at Boston Store","02/03/2016","Smoke Scare","West Towne Way, Madison, WI","2016-02-03T12:46:00-06:00"
"Basement Smoke Sends MFD To Nursing Home","02/03/2016","Excessive heat/scorch","100 Block Belmont Rd, Madison, WI","2016-02-03T07:08:00-06:00"
"Compromised Propane Fuel Line Sends Firefighters to Prairie Ave.","02/02/2016","Outdoor","3500 Block Prairie Ave, Madison, WI","2016-02-02T15:42:00-06:00"
"Chimney Collapses In Greenbush Neighborhood","01/30/2016","Structure","600 Block S. Orchard St, Madison, WI","2016-01-30T18:05:00-06:00"
"Security Reports Possible Gas Leak at Downtown Apartment Complex","01/30/2016","Gas Leak","1000 Block W. Johnson St, Madison, WI","2016-01-30T00:01:00-06:00"
"MFD Investigates Burning Smell at Van Hise Hall","01/29/2016","Electrical","1200 Block Linden Dr, Madison, WI","2016-01-29T17:59:00-06:00"
"Blocked Oven Vents Bake Up Carbon Monoxide On North Side","01/28/2016","Carbon Monoxide","Sherman Terrace, Madison, WI","2016-01-28T16:20:00-06:00"
"Cause Of Memorial Union Attic Fire Under Investigation","01/28/2016","Structure","800 Block Langdon St, Madison, WI","2016-01-28T15:26:00-06:00"
"Smoke Scare Sends Firefighters to Concourse Hotel","01/28/2016","Smoke Scare","W. Dayton St, Madison, WI","2016-01-28T08:41:00-06:00"
"Birds Nest Catches Fire Along PDQ Awning","01/27/2016","Excessive heat/scorch","4400 Block E. Buckeye Road, Madison, WI","2016-01-27T16:24:00-06:00"
"Cause Of North Side Vehicle Fire Under Investigation","01/27/2016","Vehicle","Vera Court at School Road, Madison, WI","2016-01-27T16:03:00-06:00"
"DOC Facility Evacuated After Cleaning Chemicals Mix","01/26/2016","Hazmat","5700 Block Odana Rd, Madison, WI","2016-01-26T19:59:00-06:00"
"MFD HazMat Team responds to Fuel Spill in Mt. Horeb","01/25/2016","Hazmat","Highway 151, County Highway J Dairy Ridge Road, Mt Horeb, WI","2016-01-25T12:00:00-06:00"
"Firefighters, MG&E Investigate Odor at East Side Walmart","01/24/2016","Appliance","4100 Block Nakoosa Trail, Madison, WI","2016-01-24T18:11:00-06:00"
"MFD Called To University Ave. Apartment","01/24/2016","Electrical","2100 Block University Ave, Madison, WI","2016-01-24T16:59:00-06:00"
"Smoke Alarm in Mobile Home Alerts Family of Four","01/24/2016","Structure","40 Block Rustic Ridge Parkway, Madison, WI 53716","2016-01-24T02:13:00-06:00"
"Tent Burns Down On East Side, Nobody Injured","01/23/2016","Candle","Zeier Rd, Madison, WI","2016-01-23T13:05:00-06:00"
"Heavy Smoke and Flames, Firefighters Battle House Fire in 20 Degree Weather","01/23/2016","Structure","1400 Block Reetz Road, Madison, WI 53711","2016-01-23T04:30:00-06:00"
"Five People Rescued From Downtown Elevator","01/22/2016","Elevator","N. Park Street, Madison, WI","2016-01-22T19:47:00-06:00"
"Firefighters Extinguish Apartment Fire","01/22/2016","Structure","10 Block N Burberry Dr, Madison, WI","2016-01-22T13:03:00-06:00"
"Ice Fisherman Rescued from Lake Mendota","01/20/2016","Lake Rescue","2100 Block Allen Blvd, Madison, WI 53705","2016-01-20T07:16:00-06:00"
"The Merchant Suffers Minimal Fire Damage","01/19/2016","Cooking","100 Block S. Pinckney Street, Madison, WI 53703","2016-01-19T21:30:00-06:00"
"Faulty Sprinkler Causes Water Damage at Health Clinic","01/18/2016","Structure","3200 Block Dryden Dr, Madison, WI","2016-01-18T00:04:00-06:00"
"Fire Wipes Out Chicken Coop, Spreads To Garage on Southeast Side","01/17/2016","Structure","Treichel St, Madison, WI","2016-01-17T00:44:00-06:00"
"One Rescued From Stalled Downtown Elevator","01/14/2016","Elevator","500 Block W. Johnson St, Madison, WI","2016-01-14T16:26:00-06:00"
"Mysterious Burning Smell Uncovers Furnace Problem On East Side","01/12/2016","Appliance","5000 Block Camden Rd, Madison, WI","2016-01-12T17:27:00-06:00"
"Firefighters Reunite Mom and Baby After Vehicle Lockout","01/12/2016","Vehicle","200 Block Junction Rd, Madison, WI","2016-01-12T09:14:00-06:00"
"Madison Firefighters Called To North Side Fire","01/10/2016","Structure","2400 Block Calypso Rd, Madison, WI","2016-01-10T13:01:00-06:00"
"Two Extinguish Kitchen Fire On Southwest Side","01/09/2016","Cooking","8100 Block Mayo Dr, Madison, WI","2016-01-09T17:15:00-06:00"
"MFD Searches For Smoke Source At West Side Restaurant","01/08/2016","Electrical","5600 Block Schroeder Rd, Madison, WI","2016-01-08T05:50:00-06:00"
"Couple Escapes Carbon Monoxide Leak Thanks To Working Detector","01/07/2016","Carbon Monoxide","Jason Place, Madison, WI","2016-01-07T20:55:00-06:00"
"Kitchen Fire Causes Significant Damage at Porchlight Community Housing","01/06/2016","Cooking","300 Block N. Brooks St, Madison, WI","2016-01-06T12:57:00-06:00"
"Burning Boughs Spark Concern On West Side","01/05/2016","Structure","Idledale Circle, Madison, WI","2016-01-05T18:53:00-06:00"
"North Side Restaurant Severely Damaged By Vehicle Crash","01/04/2016","Vehicle","1300 Block Northport Dr, Madison, WI","2016-01-04T17:34:00-06:00"
"Greasy Buildup Leads To Cooking Complications On Southwest Side","01/03/2016","Cooking","5800 Block Raymond Rd, Madison, WI","2016-01-03T23:40:00-06:00"
"North Side Restaurant Fire Under Investigation","01/02/2016","Structure","3000 Block Sherman Ave, Madison, WI","2016-01-02T18:58:00-06:00"
"Small Fire On West Side Causes Extensive Smoke Damage","01/02/2016","Structure","Coronado Ct, Madison, WI","2016-01-02T13:22:00-06:00"
"Firefighters Extinguish Basement Fire In East Side Home","12/26/2015","Structure","400 Block Russell Street, Madison, WI 53704","2015-12-26T23:06:00-06:00"
"Unattended Cooking Results In Smoke Damage On West Side","12/21/2015","Cooking","6200 Block Mineral Point Rd, Madison, WI","2015-12-21T19:54:00-06:00"
"Obstructed Chimney To Blame For Carbon Monoxide Scare","12/21/2015","Carbon Monoxide","Acacia Ln, Madison, WI","2015-12-21T13:53:00-06:00"
"Construction Materials Ignite, Causing Rooftop Fire on Park St.","12/19/2015","Structure","600 Block S. Park St, Madison, WI","2015-12-19T16:02:00-06:00"
"High Winds Leave Madison Man Stranded On Rooftop","12/16/2015","Special Rescue","Forge Dr, Madison, WI","2015-12-16T14:34:00-06:00"
"West Side Vehicle Fire Remains Under Investigation","12/15/2015","Vehicle","Berkshire Rd, Madison, WI","2015-12-15T03:36:00-06:00"
"One Displaced, Nobody Injured In East Side Fire","12/14/2015","Candle","1100 Block MacArthur Rd, Madison, WI","2015-12-14T23:16:00-06:00"
"Cigarette Smoking Leads To Small Mattress Fire","12/13/2015","Smoking","500 Block E. Dean Ave, Madison, WI","2015-12-13T23:40:00-06:00"
"Chimney Fire Contained, Extinguished On South Side","12/12/2015","Structure","Madison, WI","2015-12-12T19:36:00-06:00"
"Firefighters Assist Locked-Out Mom As Toddler Sleeps","12/10/2015","Special Rescue","1800 Block Fordem Ave, Madison, WI","2015-12-10T19:33:00-06:00"
"Firefighters Rescue Man Who Fell Through Bathroom Floor","12/09/2015","Special Rescue","Westbrook Cr, Madison, WI","2015-12-09T07:46:00-06:00"
"Firefighters Check Apparent Gas Leak On East Side","12/08/2015","Gas Leak","Venetian Ln, Madison, WI","2015-12-08T16:15:00-06:00"
"Smoke Investigation Uncovers Need For Detectors In East Side Home","12/08/2015","Smoke Scare","2700 Block Hoard St, Madison, WI","2015-12-08T15:54:00-06:00"
"Large Fire Totals Insulation Service Truck on East Side","12/08/2015","Appliance","Vondron Rd./Melinda Dr, Madison, WI","2015-12-08T09:43:00-06:00"
"Engine 1 Knocks Down Vehicle Fire On John Nolen Dr.","12/06/2015","Vehicle","John Nolen Dr./E. Lakeside St, Madison, WI","2015-12-06T03:15:00-06:00"
"Smoke Fills West Side Building; Unattended Cooking The Cause","12/03/2015","Cooking","800 Block Kottke Dr, Madison, WI","2015-12-03T14:41:00-06:00"
"Firefighters, Paramedics Tend To Large Spill At West Side Gas Station","12/02/2015","Hazmat","Madison, WI","2015-12-02T19:33:00-06:00"
"One Rescued From Elevator Following Smoke Alarm Activation","12/02/2015","Elevator","400 Block W. Washington Ave, Madison, WI","2015-12-02T10:39:00-06:00"
"Cause Of West Side Car Fire Unknown","12/01/2015","Vehicle","3200 Block Stonecreek Dr, Madison, WI","2015-12-01T02:23:00-06:00"
"Gas Leak Sparks Small Kitchen Fire At West Side Restaurant","11/29/2015","Gas Leak","5400 Block Schroeder Rd, Madison, WI","2015-11-29T07:09:00-06:00"
"Unattended Cooking Fire Causes Minor Damage On Thompson Dr.","11/24/2015","Cooking","300 Block N. Thompson Dr, Madison, WI","2015-11-24T21:03:00-06:00"
"Alarms At Camp Randall Point To Broken Pipe","11/24/2015","Structure","1400 Block Monroe St, Madison, WI","2015-11-24T20:26:00-06:00"
"Gasoline Smell Uncovers A Leak In University Ave. Garage","11/22/2015","Vehicle","2100 Block University Ave, Madison, WI","2015-11-22T20:57:00-06:00"
"Stick Of Butter Melts Into Small Fire On Oakridge Ave.","11/22/2015","Cooking","3100 Block Oakridge Ave, Madison, WI","2015-11-22T15:56:00-06:00"
"Firefighters Educate Kids About Dangers Of Leaf Burning","11/20/2015","Outdoor","1600 Block Packers Ave, Madison, WI","2015-11-20T16:18:00-06:00"
"Crash Involving Multiple Semis Shuts Down Interstate Overnight","11/19/2015","Vehicle","I90 Eastbound, Madison, WI","2015-11-19T23:11:00-06:00"
"Two Displaced Following Grease Fire on East Side","11/17/2015","Cooking","900 Block Vernon Ave, Madison, WI","2015-11-17T16:34:00-06:00"
"Engine 10 Assists New Mom After Lockout","11/17/2015","Vehicle","2000 Block Northport Dr, Madison, WI","2015-11-17T12:02:00-06:00"
"Ladder Tower 8 Assists Ill Person Off Of Rooftop","11/16/2015","Special Rescue","S. Stoughton Rd, Madison, WI","2015-11-16T11:03:00-06:00"
"MFD Receives Multiple Calls For Yard Waste Fires","11/15/2015","Outdoor","Tennessee Trl; Maple Run Dr, Madison, WI","2015-11-15T13:03:00-06:00"
"Outdoor Sauna Fire Box Melts On Near West Side","11/14/2015","Structure","Grand Ave, Madison, WI","2015-11-14T23:39:00-06:00"
"Hub Apartments Temporarily Evacuated Due To Dumpster Fire","11/13/2015","Structure","400 Block N. Frances St, Madison, WI","2015-11-13T20:53:00-06:00"
"Driver Takes Off With Fuel Pump, Causing Small Gas Spill","11/11/2015","Hazmat","2400 Block W. Broadway, Madison, WI","2015-11-11T13:14:00-06:00"
"Short-Circuiting Space Heater Creates Small Blaze In West Side Home","11/11/2015","Structure","1400 Block W. Skyline Dr, Madison, WI","2015-11-11T07:59:00-06:00"
"MFD and MG&E Respond To West Side Gas Leak","11/10/2015","Gas Leak","Burberry Dr, Madison, WI","2015-11-10T15:05:00-06:00"
"Engine 8 Knocks Down Vehicle Fire on Stoughton Rd.","11/09/2015","Vehicle","2100 Block N. Stoughton Rd, Madison, WI","2015-11-09T19:57:00-06:00"
"Engine 13 Swiftly Responds To Fully-Involved Vehicle Fire","11/08/2015","Vehicle","Jubilee Cr, Madison, WI","2015-11-08T16:57:00-06:00"
"Malfunctioning Elevator Pump Sends Firefighters To University Ave.","11/06/2015","Structure","5000 Block University Ave, Madison, WI","2015-11-06T20:59:00-06:00"
"Smoke On West Side Points Toward Outdoor Leaf Burning","11/05/2015","Outdoor","Country Grove Dr, Madison, WI","2015-11-05T15:53:00-06:00"
"Resident Only Gone 15 Minutes Before MFD Is Called For Burning Food","11/01/2015","Cooking","Starflower Dr, Madison, WI","2015-11-01T18:44:00-06:00"
"Stovetop Fire Leaves Behind $50,000 Of Damage, No Injuries","10/30/2015","Cooking","1600 Block N. Thompson Drive, Madison, WI","2015-10-30T12:49:00-05:00"
"Worn Power Lines Spark Calls to Ziegler Rd.","10/28/2015","Outdoor","700 Block Ziegler Rd, Madison, WI","2015-10-28T20:09:00-05:00"
"Crews Check On Ill Caller, Discover Carbon Monoxide","10/28/2015","Structure","Progress Dr, Madison, WI","2015-10-28T15:14:00-05:00"
"Overloaded Wash Machine Stirs Up Smoke On Langdon","10/27/2015","Appliance","600 Block Langdon St, Madison, WI","2015-10-27T21:02:00-05:00"
"Hazmat Team Returns To O’Keeffe Middle School, Identifies Source of Airborne Irritant","10/27/2015","Hazmat","500 Block S. Thornton Ave, Madison, WI","2015-10-27T09:22:00-05:00"
"Crews Respond to Vehicle Fire Outside City-County Building","10/26/2015","Vehicle","200 Block S. Carroll St, Madison, WI","2015-10-26T11:08:00-05:00"
"O’Keeffe Middle School Temporarily Evacuated for Hazmat Investigation","10/26/2015","Hazmat","500 Block S. Thornton Ave, Madison, WI","2015-10-26T10:01:00-05:00"
"One Displaced Following Kitchen Fire On Karstens Dr.","10/25/2015","Cooking","3700 Block E. Karstens Dr, Madison, WI","2015-10-25T22:51:00-05:00"
"Planter Compost Ignites On Big Dipper Dr.","10/23/2015","Outdoor","6000 Block Big Dipper Dr, Madison, WI","2015-10-23T16:29:00-05:00"
"Crews Soak Small Fire at Downtown Intersection","10/21/2015","Outdoor","500 Block W. Washington Ave, Madison, WI","2015-10-21T12:48:00-05:00"
"Electrical Short Causes Small Fire At Downtown Office Complex","10/21/2015","Structure","200 Block W. Washington Ave, Madison, WI","2015-10-21T01:06:00-05:00"
"Active Smoke Alarm Sends Firefighters to Would-Be Kitchen Fire","10/19/2015","Cooking","3200 Block Bluff St, Madison, WI","2015-10-19T18:19:00-05:00"
"Discarded Cigarettes To Blame For Small Grass Fire","10/19/2015","Outdoor","Whitney Way & Eastbound Beltline, Madison, WI","2015-10-19T15:29:00-05:00"
"Two Flee the Scene of Burning Barrel After Police Arrive","10/17/2015","Outdoor","500 Block State St, Madison, WI","2015-10-17T18:48:00-05:00"
"Fire Crews Find Active Flames Inside Stove Pipe","10/17/2015","Structure","2800 Block Union St, Madison, WI","2015-10-17T17:05:00-05:00"
"Downtown Tenants Escape Carbon Monoxide Threat","10/15/2015","Cooking","10 Block S. Broom St, Madison, WI","2015-10-15T23:44:00-05:00"
"Firefighters Quell Vehicle Fire While Owner At Work","10/13/2015","Vehicle","6000 Block American Parkway, Madison, WI","2015-10-13T11:51:00-05:00"
"Crews Called After Children Set Fire to Phone Book","10/12/2015","Structure","5800 Block Russett Rd, Madison, WI","2015-10-12T18:27:00-05:00"
"Artist's Kiln Generates Small Fire In Dining Room","10/10/2015","Structure","2300 Block Regent St, Madison, WI","2015-10-10T19:53:00-05:00"
"Firefighters Assist with Gas Leak at Memorial Union","10/10/2015","Outdoor","800 Block Langdon St, Madison, WI","2015-10-10T10:19:00-05:00"
"Source of Smoke In Columbus Ln. Building Still A Mystery","10/09/2015","Structure","2400 Block Columbus Ln, Madison, WI","2015-10-09T23:22:00-05:00"
"Burning Cardboard Box Kicks Up Smoke in Northside Neighborhood","10/09/2015","Unauthorized Burning","1300 Block N. Sherman Ave, Madison, WI","2015-10-09T18:14:00-05:00"
"Two Displaced Following Forest St. Condo Fire","10/09/2015","Structure","300 Block Forest St, Madison, WI","2015-10-09T14:01:00-05:00"
"Wrong Turn Of the Stovetop Knob Sends Crews to Old Middleton Rd.","10/08/2015","Cooking","5000 Block Old Middleton Rd, Madison, WI","2015-10-08T01:40:00-05:00"
"Crews Called To Check On Lab Chemical Spill","10/08/2015","Hazmat","30 Block S. Brooks St, Madison, WI","2015-10-08T00:34:00-05:00"
"Smoke Odor Investigation Turns Up Burning Leaves","10/07/2015","Unauthorized Burning","5100 Block Starker Ave, Madison, WI","2015-10-07T15:51:00-05:00"
"Firefighters Called to Ventilate Smoky Apartment","10/07/2015","Cooking","500 Block N. Lawn Ave, Madison, WI","2015-10-07T14:42:00-05:00"
"West Side Resident Smells Smoke Following Power Outage","10/07/2015","Structure","800 Block N. Gammon Rd, Madison, WI","2015-10-07T00:39:00-05:00"
"Engine 8 Returns to Ziegler Rd. for Outside Fire","10/06/2015","Unauthorized Burning","700 Block Ziegler Rd, Madison, WI","2015-10-06T17:17:00-05:00"
"One Injured In Rollover Crash on West Side","10/06/2015","Vehicle","Mineral Point Rd./S. High Point Rd, Madison, WI","2015-10-06T14:25:00-05:00"
"Preheating Oven Starts Small Fire on Jenifer St.","10/03/2015","Cooking","1400 Block Jenifer St, Madison, WI","2015-10-03T18:24:00-05:00"
"East Side Resident Contains Dryer Fire Until Firefighters Arrive","10/03/2015","Appliance","100 Block E. Dean Ave, Madison, WI","2015-10-03T18:17:00-05:00"
"Vehicle Fire Almost Steals the Show at Breese Stevens Field","10/02/2015","Vehicle","900 Block E. Washington Ave, Madison, WI","2015-10-02T20:18:00-05:00"
"Firefighters Called To Unauthorized Leaf Burning on East Side","10/02/2015","Unauthorized Burning","700 Block Ziegler Rd, Madison, WI","2015-10-02T18:29:00-05:00"
"Firefighters Respond to Smoke Odor, Find Resident Asleep","09/29/2015","Cooking","2300 Block Carling Dr, Madison, WI","2015-09-29T20:26:00-05:00"
"Passerby Reports and Extinguishes Outdoor Fire on North Side","09/29/2015","Outdoor","Dakota Dr. at Arizona Pass, Madison, WI","2015-09-29T19:23:00-05:00"
"Kitchen Fire Temporarily Shuts Down East Side Restaurant","09/29/2015","Cooking","4700 Block Cottage Grove Rd, Madison, WI","2015-09-29T17:47:00-05:00"
"Citizen Walk-Up Alerts Firefighters Of Vehicle Fire","09/27/2015","Vehicle","3900 Block Lien Rd, Madison, WI","2015-09-27T19:15:00-05:00"
"Family Asked To Put Out Large Debris Fire","09/26/2015","Unauthorized Burning","7000 Block Colony Dr, Madison, WI","2015-09-26T13:48:00-05:00"
"Firefighters Check On Gasoline Leak On West Side","09/25/2015","Vehicle","5300 Block Oak Crest, Madison, WI","2015-09-25T16:36:00-05:00"
"Firefighters Crawl Through Window To Respond To Active Alarm","09/25/2015","Cooking","900 Block Jenifer St, Madison, WI","2015-09-25T03:04:00-05:00"
"Four Displaced Following Overnight Basement Fire","09/23/2015","Structure","6900 Block Stockbridge, Madison, WI","2015-09-23T23:59:00-05:00"
"Firefighters Investigate Sparking Appliance During UW Fire Drill","09/23/2015","Structure","1600 Block Observatory Dr, Madison, WI","2015-09-23T11:22:00-05:00"
"Crews Clear Smoke From West Side Home, Chimney","09/23/2015","Structure","4200 Block Rolla Ln, Madison, WI","2015-09-23T10:15:00-05:00"
"One Taken by Med Flight Following McKee Rd. Crash","09/23/2015","Special Rescue","McKee Rd. at S. Pleasant View Rd, Madison, WI","2015-09-23T06:22:00-05:00"
"Fire In Downtown Garbage Disposal Contained By Broken Water Line","09/22/2015","Structure","100 Block W. Washington Ave, Madison, WI","2015-09-22T15:07:00-05:00"
"Downtown Resident Sleeps As Food Burns Inside the Oven","09/21/2015","Cooking","300 Block N. Blair, Madison, WI","2015-09-21T04:48:00-05:00"
"Fish Oils Ignite Small Oven Fire on East Side","09/20/2015","Cooking","1500 Block Wayridge Dr, Madison, WI","2015-09-20T18:25:00-05:00"
"Electrical Problems Lead to Smoke, Power Outage on UW Campus","09/19/2015","Structure","1200 Block W. Dayton St, Madison, WI","2015-09-19T11:42:00-05:00"
"HazMat Team Called To Examine Suspicious Mail","09/18/2015","Hazmat","200 Block Martin Luther King, Jr. Blvd, Madison, WI","2015-09-18T13:07:00-05:00"
"MFD Dispatched To East Side Vehicle Fire","09/18/2015","Vehicle","4200 Block Commercial Ave, Madison, WI","2015-09-18T01:21:00-05:00"
"Lightning Strikes West Side Home, Causes Small Fire","09/17/2015","Structure","6000 Block Raymond Rd, Madison, WI","2015-09-17T20:15:00-05:00"
"Firefighters Douse Burning Food Inside Empty Apartment","09/13/2015","Cooking","2000 Block Fisher St, Madison, WI","2015-09-13T18:27:00-05:00"
"VFW Fire Causes $100,000 in Damage","09/12/2015","Structure","100 Block of E. Lakeside Street, Madison, WI","2015-09-12T04:45:00-05:00"
"Nobody Injured In West Side Kitchen Fire","09/10/2015","Cooking","Pintail Cir, Madison, WI","2015-09-10T18:42:00-05:00"
"Alert Passersby Prevent Trash Can Fire at UW Hospital","09/10/2015","Smoking","600 Block Highland Ave, Madison, WI","2015-09-10T09:40:00-05:00"
"Six Homes Evacuated After Odor Reported By Homeowners","09/09/2015","Hazmat","100 Block N. First St, Madison, WI","2015-09-09T18:26:00-05:00"
"Malfunctioning Kitchen Fan Causes Small Fire Downtown","09/09/2015","Cooking","400 Block W. Mifflin St, Madison, WI","2015-09-09T11:13:00-05:00"
"Kitchen Fire Closes Downtown Restaurant","09/06/2015","Structure","100 Block W. Wilson St, Madison, WI","2015-09-06T10:57:00-05:00"
"Faulty Fuse Leads To Vehicle Fire On the Interstate","09/04/2015","Vehicle","I90 Westbound, Madison, WI","2015-09-04T17:15:00-05:00"
"Apartment Dwellers Asked to Take Down Tiki Torches","09/02/2015","Unauthorized Burning","4300 Block Melody Ln, Madison, WI","2015-09-02T22:43:00-05:00"
