DotSize,IntersectionID,Lat,Lon,OBJECTID,Saturday,Saturday_1_79,StopDescription,StopID,Sunday,Sunday_1_79,Weekday,Weekday_1_79,WkdBdPerSvc,WkdSvc,coordinates
9392708.69,69,43.053883,-89.475098,6296,1179.58,1179.58,WEST TRANSFER POINT,6100,890.84,890.84,1878.54,1878.54,0,0,"[-89.47509194729506, 43.05387506498107]"
5649169.04,199,43.098619,-89.322148,6297,625.3,625.3,EAST TRANSFER POINT,7100,443.85,443.85,1129.83,1129.83,0,0,"[-89.3221419873553, 43.098611049348925]"
2474759.08,148,43.126576,-89.306961,6298,412.24,412.24,EB E TOWNE RNG at SHELTER ,9800,316.94,316.94,494.95,494.95,0,0,"[-89.3069549884892, 43.12656804414563]"
2483209.05,761,43.073317,-89.394044,6299,143.64,143.64,WB W GORHAM ns N BASSETT ,428,96.58,96.58,496.64,496.64,0,0,"[-89.39403796909069, 43.07330905747581]"
194295.14,761,43.072404,-89.393143,6300,25.03,25.03,EB W JOHNSON fs N BASSETT ,555,14.02,14.02,38.86,38.86,0,0,"[-89.39313696896888, 43.07239605762189]"
1589719.16,210,43.070947,-89.406982,6301,39.5,0.0,EB W Dayton fs N Orchard ,5,41.02,0.0,317.94,0.0,0,0,"[-89.40697596508863, 43.07093905812706]"
4681937.73,78,43.075933,-89.400154,6302,231.63,0.0,WB Langdon ns N Park ,10,201.57,0.0,936.39,0.0,0,0,"[-89.40014796677369, 43.07592505721589]"
37800.37,784,43.075691,-89.396944,6303,5.01,0.0,EB Langdon fs N Lake ,25,0.0,0.0,7.56,0.0,0,0,"[-89.39693796733451, 43.07568305676789]"
3144420.02,759,43.071895,-89.397341,6304,67.0,0.0,NB N Lake ns W Johnson ,39,71.53,0.0,628.88,0.0,0,0,"[-89.3973349679091, 43.07188705821724]"
8894.21,79,43.078482,-89.38982,6305,0.5,0.0,EB Langdon fs N Carroll ,45,0.0,0.0,1.78,0.0,0,0,"[-89.38981396981457, 43.078474056697026]"
36131.2,776,43.074636,-89.412598,6306,0.0,0.0,NB Babcock ns Linden ,47,0.0,0.0,7.23,7.23,0,0,"[-89.41259196333448, 43.0746280582032]"
3594662.19,784,43.075529,-89.397191,6307,97.72,0.0,NB N Lake ns Langdon ,49,72.52,0.0,718.93,0.0,0,0,"[-89.39718496752778, 43.075521057544904]"
6882.13,746,43.069442,-89.402267,6308,0.0,0.0,WB Spring ns N Brooks ,50,0.0,0.0,1.38,1.38,0,0,"[-89.40226096653493, 43.06943405884018]"
1263996.84,445,43.076131,-89.40566,6309,15.52,0.0,WB Observatory ns N Charter ,52,14.01,0.0,252.8,0.0,0,0,"[-89.40565396479033, 43.07612305779123]"
31685.61,37,43.075781,-89.403882,6310,4.01,0.0,EB Observatory at North Hall ,53,0.0,0.0,6.34,0.0,0,0,"[-89.40387596612034, 43.07577305726788]"
573.51,424,43.06947,-89.403872,6311,0.0,0.0,WB Spring ns N Mills ,54,0.0,0.0,0.11,0.11,0,0,"[-89.40386596654629, 43.0694620588192]"
31685.61,1007,43.07665,-89.407141,6312,1.5,0.0,WB Observatory at Liz Waters ,56,0.0,0.0,6.34,0.0,0,0,"[-89.407134964855, 43.076642057190554]"
839885.95,37,43.075996,-89.40366,6313,13.02,0.0,WB Observatory at Bascom ,60,10.5,0.0,167.98,0.0,0,0,"[-89.40365396543298, 43.07598805769765]"
772069.9,755,43.070893,-89.403698,6314,6.0,0.0,EB W Dayton fs N Mills ,61,7.5,0.0,154.41,0.0,0,0,"[-89.40369196611532, 43.070885057884354]"
9449.23,759,43.072172,-89.397625,6315,1.53,0.0,SB N Lake ns W Johnson ,68,1.5,0.0,1.89,0.0,0,0,"[-89.3976189675078, 43.072164057881054]"
18342.62,1006,43.07433,-89.400784,6316,0.51,0.0,SB N Park ns Lathrop ,70,2.5,0.0,3.67,0.0,0,0,"[-89.40077796716542, 43.07432205772575]"
2060520.6,207,43.07082,-89.39865,6317,27.5,0.0,EB W Dayton fs E Campus Mall ,73,108.55,0.0,412.1,0.0,0,0,"[-89.39864396736222, 43.07081205794448]"
715373.62,754,43.070857,-89.401119,6318,7.0,0.0,EB W Dayton ns N Park ,77,16.51,0.0,143.07,0.0,0,0,"[-89.40111296654302, 43.07084905807126]"
701597.6,767,43.07415,-89.392328,6319,25.0,0.0,NB N Broom ns W Gorham ,87,2.5,0.0,140.32,137.87,0,0,"[-89.39232196940478, 43.07414205676322]"
