MetroID,Notes,OBJECTID,Type,coordinates,stop_id,stop_lat,stop_lon,stop_name
2282.0,,98,,"[-89.46704242194852, 43.07291732303065]",52006.0,43.07291732,-89.46704242,EB SHEBOYGAN fs EAU CLAIRE 
2395.0,,99,,"[-89.45729295074038, 43.07293306089907]",52005.0,43.07293306,-89.45729295,EB SHEBOYGAN ns SEGOE 
2191.0,,100,,"[-89.45039195167966, 43.07515505977842]",52004.0,43.07515506,-89.45039195,EB UNIV AVE fs MIDVALE 
2595.0,Relo to the west,101,,"[-89.44421595389336, 43.075105059692746]",52003.0,43.07510506,-89.44421595,EB UNIV AVE ns HILL 
2465.0,Moved to far side with U Ave project,102,,"[-89.4334756505546, 43.073229979729476]",52002.0,43.07322998,-89.43347565,EB UNIV AVE fs FARLEY 
,"Construct new stops, platforms, and ped access, may be infeasible.",103,,"[-89.4204445288983, 43.073722022026146]",52001.0,43.07372202,-89.42044453,EB CAMPUS at CHAMBERLAIN
6987.0,,104,,"[-89.52687522585506, 43.06014177048576]",52015.0,43.06014177,-89.52687523,EB MINERAL PT fs JUNCTION
,,105,,"[-89.52594049810992, 43.060528429251704]",51015.0,43.06052843,-89.5259405,WB MINERAL PT ns JUNCTION
,,106,,"[-89.53749978554053, 43.059735033612526]",51016.0,43.05973503,-89.53749979,SB PLEASANT VW fs MINERAL PT
,,107,,"[-89.53714410874595, 43.05971395808028]",52016.0,43.05971396,-89.53714411,NB PLEASANT VW ns MINERAL PT
,,108,,"[-89.53664056759098, 43.05113081154427]",51017.0,43.05113081,-89.53664057,EB WATTS ns PLEASANT VW
87.0,,109,alt,"[-89.39222840546724, 43.074051593573984]",,43.07405159,-89.39222841,NB BROOM ns GORHAM
,New stop,110,alt,"[-89.38955144772304, 43.07429853924073]",,43.07429854,-89.38955145,SB HENRY fs JOHNSON
1124.0,Existing detour stop,111,alt,"[-89.38543203684748, 43.07245970336013]",,43.0724597,-89.38543204,SB FAIRCHILD ns MAIN
161.0,,112,alt,"[-89.3871614938151, 43.07025018905261]",,43.07025019,-89.38716149,NB BROOM fs DOTY
1111.0,Ex detour stop moved far side,113,alt,"[-89.3817671684755, 43.073325342087784]",,43.07332534,-89.38176717,EB DOTY fs MLK
1486.0,,114,alt,"[-89.3812087570558, 43.07282025947791]",,43.07282026,-89.38120876,WB WILSON ns MLK
1870.0,,115,alt,"[-89.38040100205207, 43.0759445301892]",,43.07594453,-89.380401,SB HENRY ns MAIN
9169.0,,116,ext,"[-89.34630514454865, 43.13741505423789]",,43.13741506,-89.34630514,DANE COUNTY AIRPORT
